Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Body Color,Head Color,Leg Color,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S165881679,Lesser Rhea,Rhea pennata,16,X,CL-AN,San Pedro de Atacama,L30066359,Pedro’s Rojo,-23.739026,-67.831813,2024-03-24,,Brown,Grey,Grey,eBird - Casual Observation,,0,,,1,,,,
S145293519,Canada Goose,Branta canadensis,324,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-22,,Brown,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S145790044,Canada Goose,Branta canadensis,324,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-27,08:43 PM,Brown,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S146429970,Canada Goose,Branta canadensis,324,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-08-04,11:03 AM,Brown,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S191710822,Whooper Swan,Cygnus cygnus,371,X,US-CA,Tuolumne,L35827615,Sebastiani,37.853162,-120.18441,2024-08-16,05:53 PM,White,,Black,eBird - Casual Observation,,0,,,1,,,,
S166049375,Andean Goose,Oressochen melanopterus,381,X,CL-AN,San Pedro de Atacama,L30097862,Vado Rio Putana,-22.497637,-68.06354,2024-03-26,01:11 PM,Black,White,Orange,eBird - Casual Observation,,0,,,1,,,,
S166049558,Puna Teal,Spatula puna,459,X,CL-AN,San Pedro de Atacama,L30097862,Vado Rio Putana,-22.497637,-68.06354,2024-03-26,01:12 PM,Brown,Light Blue,Grey,eBird - Casual Observation,,0,,,1,,,,
S146551302,Mallard,Anas platyrhynchos,515,X,US-CA,Calaveras,L26419768,Fly In Acres,38.24689,-120.335438,2023-08-05,05:56 PM,Light Brown,Green,Orange,eBird - Casual Observation,,0,,,1,,,,
S146555811,Mallard,Anas platyrhynchos,515,X,US-CA,Calaveras,L26419768,Fly In Acres,38.24689,-120.335438,2023-08-05,05:56 PM,Light Brown,Green,Orange,eBird - Casual Observation,,0,,,1,,,,
S150325204,Mallard,Anas platyrhynchos,515,X,IT-21,,L27169511,Lego D Orta,45.796795,8.40647,2023-09-20,02:25 PM,Light Brown,Green,Orange,eBird - Casual Observation,,0,,,1,,,,
S166049785,Yellow-billed Teal,Anas flavirostris,591,X,CL-AN,San Pedro de Atacama,L30097862,Vado Rio Putana,-22.497637,-68.06354,2024-03-26,01:14 PM,Light Brown,Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S158919199,Ruddy Duck,Oxyura jamaicensis,736,X,US-CA,Contra Costa,L28786455,Bishop Ranch Pond,37.763909,-121.963626,2024-01-14,02:00 PM,Chestnut,Light Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S180617433,Mountain Quail,Oreortyx pictus,966,X,US-CA,Calaveras,L33138485,Vista Point,38.409391,-120.138533,2024-06-10,10:10 AM,Brown,Grey ,White,eBird - Casual Observation,,0,,,1,,,,
S168007479,California Quail,Callipepla californica,1045,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-10,,Grey,Black,Light Brown,eBird - Casual Observation,,0,,,1,,,,
S148456082,Wild Turkey,Meleagris gallopavo,1222,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-15,,Brown,Light Red,Light Brown,eBird - Casual Observation,,0,,,1,,,,
S149227044,Wild Turkey,Meleagris gallopavo,1222,X,US-KS,Thomas,L26982919,San Ramon Medical Center,39.287732,-101.271789,2023-09-07,06:02 PM,Brown,Light Red,Light Brown,eBird - Casual Observation,,0,,,1,,,,
S157581698,Indian Peafowl,Pavo cristatus,1515,X,PT-11,Lisboa,L28534505,Castle Sao Jorge,38.713609,-9.13341,2023-12-31,12:34 PM,Green,Blue,Grey,eBird - Casual Observation,,0,,,1,,,,
S165882434,Chilean Flamingo,Phoenicopterus chilensis,1786,X,CL-AN,San Pedro de Atacama,L30066460,Chaxa,-23.328817,-68.166466,2024-03-24,08:16 PM,Pink,Pink,Grey,eBird - Casual Observation,,0,,,1,,,,
S166051047,Andean Flamingo,Phoenicoparrus andinus,1794,X,CL-AN,San Pedro de Atacama,L30097862,Vado Rio Putana,-22.497637,-68.06354,2024-03-26,01:23 PM,Pink,Pink ,Yellow,eBird - Casual Observation,,0,,,1,,,,
S165882208,James's Flamingo,Phoenicoparrus jamesi,1795,X,CL-AN,San Pedro de Atacama,L30066460,Chaxa,-23.328817,-68.166466,2024-03-24,08:13 PM,Pink,Pink,Red,eBird - Casual Observation,,0,,,1,,,,
S166050641,Silvery Grebe,Podiceps occipitalis,1858,X,CL-AN,San Pedro de Atacama,L30097862,Vado Rio Putana,-22.497637,-68.06354,2024-03-26,01:20 PM,Light Grey,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S150030047,Rock Pigeon,Columba livia,1874,X,US-CA,Alameda,L27113539,Marina Park,37.691282,-122.185451,2023-09-16,,Light Grey,Blue Grey,Pink,eBird - Casual Observation,,0,,,1,,,,
S150844865,Eurasian Collared-Dove,Streptopelia decaocto,2051,X,IT-42,,L27250911,Manarola,44.106598,9.727195,2023-09-27,,Light Grey ,Light Grey,Pink,eBird - Casual Observation,,0,,,1,,,,
S166054851,West Peruvian Dove,Zenaida meloda,2403,X,CL-AN,San Pedro de Atacama,L30074065,Poblado Kimal,-22.912124,-68.20244,2024-03-26,,Light Grey,Light Brown,Red,eBird - Casual Observation,,0,,,1,,,,
